stop_id,stop_name,stop_lat,stop_lon,routes,total_trips,avg_headway,total_ons,total_offs,avg_load,avg_dwell,avg_speed,avg_dwell_per_pass,stop_change
SEPTA130,Walnut St & Broad St - MBNS,39.949303,-75.163657,"42,21,9,12",351,4,746,434,12,23,4.38,0.02,0
SEPTA14079,Walnut St & 15th St,39.949576,-75.165805,"42,21,9,12",351,4,692,283,14,20,3.7,0.02,0
SEPTA14080,Walnut St & 16th St,39.949775,-75.167399,"42,21,9,12",351,4,580,304,14,21,4.17,0.02,0
SEPTA14081,Walnut St & 17th St,39.949975,-75.168968,"42,21,9,12",351,4,492,269,15,16,4.86,0.02,0
SEPTA14084,Walnut St & 18th St,39.950148,-75.170456,"42,21,9,12",352,4,403,287,15,13,5.31,0.02,0
SEPTA14085,Walnut St & 19th St,39.950374,-75.172108,"42,21,9,12",352,4,410,299,16,14,5.24,0.02,0
SEPTA14086,Walnut St & 20th St,39.950574,-75.173643,"42,21,9,12",352,4,380,231,16,13,5.94,0.02,0
SEPTA14088,Walnut St & 21st St,39.95081,-75.175531,"42,21,9,12",352,4,278,211,16,11,5.53,0.02,0
SEPTA14089,Walnut St & 22nd St,39.951,-75.177172,"42,21,9,12",352,4,304,146,17,11,6.15,0.03,0
SEPTA131,Walnut St & 23rd St,39.951145,-75.178305,"42,21,9",292,5,142,118,17,6,7.45,0.02,0
